"HYRIV_ID","HYBAS_L08","HYBAS_L12"
20007140,2080038730,2120038750
20007151,2080059500,2120059500
20007152,2080059500,2120059500
20007160,2080038730,2120038750
20007161,2080038730,2120038750
20007163,2080059500,2120059500
20007165,2080038730,2120038750
20007173,2080059500,2120059500
20007174,2080038730,2120038750
20007175,2080038730,2120038750
20007180,2080038730,2120038750
20007181,2080038940,2120038960
20007183,2080059500,2120059500
20007184,2080059500,2120059500
20007185,2080059500,2120059500
20007187,2080059500,2120059500
20007188,2080038940,2120038960
20007189,2080038940,2120038960
20007190,2080038730,2120038730
20007191,2080038730,2120038750
20007192,2080038730,2120038750
20007193,2080038730,2120038750
20007196,2080059500,2120059500
20007201,2080059500,2120059500
20007202,2080038730,2120038750
20007203,2080038940,2120038960
20007204,2080038940,2120038960
20007208,2080038940,2120038960
20007212,2080038940,2120038960
20007216,2080038940,2120038960
20007220,2080038730,2120038750
20007221,2080038940,2120038960
20007222,2080038940,2120038960
20007225,2080038940,2120038960
20007226,2080059500,2120059500
20007227,2080038730,2120038750
20007228,2080038940,2120038960
20007232,2080038730,2120038750
20007233,2080059500,2120059500
20007234,2080038730,2120038750
20007235,2080038730,2120038750
20007236,2080038940,2120038960
20007237,2080038940,2120038960
20007238,2080038940,2120038960
20007242,2080038940,2120038960
20007243,2080038940,2120038960
20007244,2080038940,2120038960
20007249,2080038940,2120038960
20007255,2080038940,2120038960
20007256,2080038940,2120038970
20007258,2080038700,2120038710
20007259,2080038940,2120038960
20007260,2080038940,2120038960
20007262,2080059500,2120059500
20007263,2080059500,2120059500
20007264,2080038700,2120038710
20007265,2080038940,2120038960
20007270,2080038940,2120038970
20007272,2080059500,2120059500
20007273,2080059500,2120059500
20007274,2080059500,2120059500
20007275,2080038730,2120038750
20007276,2080038940,2120038960
20007277,2080038940,2120038960
20007278,2080038940,2120038970
20007281,2080038730,2120038750
20007282,2080038940,2120038970
20007287,2080038730,2120038750
20007288,2080038940,2120038970
20007291,2080038730,2120038730
20007292,2080038730,2120038730
20007293,2080038730,2120038750
20007294,2080038940,2120038960
20007295,2080038940,2120038960
20007299,2080038940,2120038960
20007300,2080038940,2120038960
