"","x"
"r.squared",0.892363671737519
"limestone",45699225.3069004
"aet_mm_cyr",44639704.0872432
"bio9_mean",43521034.4202784
"bio12_mean",41307639.8673531
"scd_mean",35816432.7312134
"granite",21695902.785461
"snd_pc_uav",21267748.8351662
"q_si_mean",19458895.4489042
"bio15_mean",17916545.6969247
"bio4_mean",17912138.1074419
"predprob30",17685239.4711866
"to_the_sea",14638209.9598564
"ele_mt_cmn",12835693.6173594
"quartzite",12782842.9047676
"impacted_lc",11979255.3862063
"gwt_cm_cav",11542744.5845619
"mud",11403974.844378
"meta_sandstone",10204991.8729169
"sandstone",9757954.96837488
"slt_pc_cav",8700713.2405551
"ero_kh_cav",8250813.28476258
"hft_ix_c09",7748629.87341833
"pop_ct_csu",7677980.69294637
"marl",6587232.28697799
"gneiss",6168886.43193176
"meta_basalt_group",5978168.83271465
"phyllite",5656640.22878056
"riv_tc_usu",5591717.63278099
"undifferentiated",5046047.34003516
"gabbro",4196804.35339368
"mica_schist",4004463.90853937
"granite_group",3106847.34419197
"random",2665816.99908606
"conglomerate",1979129.06949389
"granodiorite_diorite_group",1866438.43779213
"marble",1499921.16739128
"shale_slate",1475678.9992527
"claystone",1360447.12966727
"gla_pc_use",1325666.60838354
"clay",1020149.86680892
"migmatite_anatexite",1018509.9481741
"sand",699192.423687197
"plutonic_ultramafic_group",468580.212518014
"dolomite_dolostone",417787.025583251
"carbonates_consolidated",336674.788258679
"schist_group",336003.067469092
"tholeiitic_basalt",327953.367431899
"meta_sediment_group",326255.675259218
"meta_basalt",306198.728965226
"amphibolite",303959.096606928
"alkali_basalt",278067.907739025
"rhyolite_group",267592.869337605
"siltstone",252948.531913916
"meta_granodiorite",220816.520312893
"meta_granite",212962.539058008
"rhyolite",211004.101643393
"granulite",193743.739115614
"peridotite",192014.744140555
"meta_rhyolite",184733.738081071
"andesite",182857.603680274
"granodiorite",171763.904801801
"rhyodacite",158934.962015612
"dolerite",151947.473812837
"trachyte",118414.185238978
"alkali_rhyolite",96844.8312602249
"basalt_group",92847.2889004034
"meta_rhyolite_group",84940.1337314303
"andesite_group",72359.8081589699
"gabbro_group",71784.8918963198
"alkali_granite",66291.4884470615
"meta_gabbro",65551.9374799891
"meta_volcanic_rock_group",42263.9517154526
"siliclastics_consolidated",28830.924546661
"tonalite",28645.0508368866
"basalt",17716.4584121059
"gravel",17709.2728536454
"greenschist",14999.013333299
"serpentinite",14037.4067280752
"diorite",8743.54853045992
"latite",7926.827695302
"dacite",6867.27370150764
"seawater_area",5186.4054907305
"marlstone",2760.67861232907
"meta_andesite",2578.6137957899
"meta_granite_group",1674.71859438413
"alkali_syenite",0
"andesite_agglomerate",0
"blueschist",0
"carbonates",0
"chalk",0
"chert",0
"dunite_harzburgite_lherzolite",0
"eclogite",0
"essexite_theralite_group",0
"gypsum",0
"lamprophyre",0
"meta_carbonate",0
"meta_claystone",0
"meta_gabbro_group",0
"meta_limestone",0
"meta_peridotite",0
"meta_rhyodacite",0
"miscellaneous_metamorphic_rock_group",0
"mudstone",0
"phonolite",0
"rock_salt",0
"silt",0
"syenite",0
"syenite_monzonite_group",0
"tephrite_basanite",0
"theralite",0
"tuff_group",0
"tuffite_group",0
"volcanic_alkaline_group",0
